Element ID,coef
2.C.1.a,4.670361073301661
2.C.1.b,2.9627205662486897
2.C.1.c,2.6283991709694137
2.C.1.d,2.6218212046618246
2.C.1.e,0.14065029076212426
2.C.10,2.766965163937794
2.C.2.a,6.225220770173664
2.C.2.b,1.4402088890122606
2.C.3.a,2.2200567042866117
2.C.3.b,5.529238376423433
2.C.3.d,1.694731084829005
2.C.4.a,1.1127023104457896
2.C.4.c,13.140008310790595
2.C.4.d,4.96985826103033
2.C.4.e,11.90492506152121
2.C.4.f,0.31839929354440305
2.C.4.g,5.941686268637204
2.C.5.b,0.5157404713453215
2.C.6,2.9500023523851744
2.C.7.a,7.1976864848513475
2.C.7.c,3.109266845421403
2.C.8.a,4.4968080458922675
2.C.8.b,1.928626346231754
2.C.9.a,2.1047778287045125
2.C.9.b,2.1767356082183933
2.A.1.b,10.804883420287991
2.A.1.d,10.453911790887474
2.B.1.b,8.303688134464243
2.B.1.e,6.3232755790676
2.B.2.i,10.660919566654497
2.B.3.b,11.876660255341244
2.B.3.c,9.210208366206794
2.B.3.d,8.110844474682677
2.B.3.e,4.17953854693362
2.B.3.g,0.002803757747529125
2.B.3.h,3.2321288208330876
2.B.3.j,0.3804263501797892
2.B.3.l,1.7341575507369473
2.B.4.g,4.019257015738991
2.B.4.h,1.305929201813073
2.B.5.a,8.681193136674597
2.B.5.b,10.36162570330346
intercept,-3.0392283897811656
